GO:0004934,GO:0004933
GO:0004934,GO:0036320
GO:0004945,GO:0001596
GO:0004946,GO:0035237
GO:0004948,GO:0097643
GO:0004966,GO:0060182
GO:0004982,GO:0044508
GO:0004983,GO:0042263
GO:0004985,GO:0008188
GO:0005000,GO:0035013
GO:0005046,GO:0030944
GO:0005046,GO:0045015
GO:0005052,GO:0005053
GO:0005053,GO:0005052
GO:0005114,GO:0034713
GO:0005114,GO:0034714
GO:0005133,GO:0005134
GO:0005133,GO:0005135
GO:0005134,GO:0005135
GO:0005134,GO:0005138
GO:0005135,GO:0005134
GO:0005135,GO:0005136
GO:0005136,GO:0005135
GO:0005136,GO:0005137
GO:0005137,GO:0005136
GO:0005137,GO:0005138
GO:0005138,GO:0005137
GO:0005138,GO:0005139
GO:0005139,GO:0005137
GO:0005139,GO:0005138
GO:0005140,GO:0005139
GO:0005140,GO:0005141
GO:0005141,GO:0005140
GO:0005141,GO:0005142
GO:0005142,GO:0005141
GO:0005142,GO:0005143
GO:0005143,GO:0005142
GO:0005143,GO:0005144
GO:0005144,GO:0005143
GO:0005144,GO:0016170
GO:0005149,GO:0005134
GO:0005149,GO:0005137
GO:0005150,GO:0005151
GO:0005151,GO:0005150
GO:0005166,GO:0005167
GO:0005168,GO:0005170
GO:0005169,GO:0005170
GO:0005170,GO:0005169
GO:0005174,GO:0005175
GO:0005175,GO:0005174
GO:0005183,GO:0017045
GO:0005278,GO:0042962
GO:0005330,GO:0005335
GO:0005334,GO:0005335
GO:0005335,GO:0005330
GO:0005432,GO:0015385
GO:0005451,GO:0051139
GO:0005469,GO:0015515
GO:0005469,GO:0015516
GO:0005476,GO:0070907
GO:0005476,GO:0070908
GO:0005584,GO:0005585
GO:0005584,GO:0005586
GO:0005585,GO:0005584
GO:0005585,GO:0005586
GO:0005586,GO:0005584
GO:0005586,GO:0005585
GO:0005587,GO:0005591
GO:0005588,GO:0005584
GO:0005588,GO:0005585
GO:0005590,GO:0005595
GO:0005591,GO:0005587
GO:0005591,GO:0005599
GO:0005593,GO:0005583
GO:0005594,GO:0005595
GO:0005595,GO:0005594
GO:0005596,GO:0005595
GO:0005596,GO:0005597
GO:0005597,GO:1990318
GO:0005599,GO:0005591
GO:0005600,GO:1990322
GO:0005727,GO:0046821
GO:0005728,GO:0046821
GO:0005758,GO:0009529
GO:0006076,GO:0006079
GO:0006078,GO:0006075
GO:0006079,GO:0006076
GO:0006167,GO:0006177
GO:0006170,GO:0006181
GO:0006171,GO:0006182
GO:0006172,GO:0046708
GO:0006177,GO:0006167
GO:0006181,GO:0006170
GO:0006182,GO:0006171
GO:0006183,GO:0006172
GO:0006188,GO:0046708
GO:0006226,GO:0006227
GO:0006226,GO:0006229
GO:0006227,GO:0006226
GO:0006227,GO:0006229
GO:0006228,GO:0006234
GO:0006229,GO:0006227
GO:0006229,GO:0006242
GO:0006230,GO:0006232
GO:0006231,GO:0006233
GO:0006232,GO:0006230
GO:0006233,GO:0006231
GO:0006233,GO:0006242
GO:0006234,GO:0006230
GO:0006238,GO:0044211
GO:0006239,GO:0036198
GO:0006240,GO:0006233
GO:0006241,GO:0006230
GO:0006242,GO:0006229
GO:0006242,GO:0006233
GO:0006246,GO:0006253
GO:0006246,GO:0046074
GO:0006249,GO:0046074
GO:0006251,GO:0006253
GO:0006251,GO:0006257
GO:0006253,GO:0046081
GO:0006257,GO:0046079
GO:0006257,GO:0046081
GO:0006267,GO:0036390
GO:0006311,GO:0000711
GO:0006480,GO:0006474
GO:0006487,GO:0018103
GO:0006493,GO:0018280
GO:0006499,GO:0006500
GO:0006597,GO:0008295
GO:0006607,GO:0006610
GO:0006610,GO:0006607
GO:0006612,GO:0045047
GO:0006613,GO:0045047
GO:0006620,GO:0006613
GO:0006784,GO:0048034
GO:0006785,GO:0006786
GO:0006786,GO:0006785
GO:0006843,GO:0140021
GO:0006843,GO:1990544
GO:0006850,GO:1990557
GO:0006963,GO:0002809
GO:0006964,GO:0002814
GO:0006964,GO:0006965
GO:0006965,GO:0002817
GO:0006965,GO:0006964
GO:0006967,GO:0002811
GO:0006990,GO:1904081
GO:0007026,GO:0031117
GO:0007027,GO:0032932
GO:0007086,GO:0099500
GO:0007095,GO:0031571
GO:0007141,GO:0007144
GO:0007144,GO:0007141
GO:0007271,GO:0035249
GO:0007344,GO:0010197
GO:0007421,GO:0048483
GO:0007421,GO:0048484
GO:0007603,GO:0007604
GO:0007604,GO:0007603
GO:0007633,GO:0008542
GO:0007639,GO:0048877
GO:0008031,GO:0008613
GO:0008031,GO:0070186
GO:0008068,GO:0016934
GO:0008111,GO:0004493
GO:0008112,GO:0008938
GO:0008112,GO:0046539
GO:0008139,GO:0046923
GO:0008215,GO:0008216
GO:0008216,GO:0008215
GO:0008255,GO:0016087
GO:0008295,GO:0006597
GO:0008469,GO:0018024
GO:0008507,GO:0015382
GO:0008558,GO:0031458
GO:0008559,GO:0015440
GO:0008613,GO:0046659
GO:0008742,GO:0004750
GO:0008742,GO:0034015
GO:0008761,GO:0003974
GO:0008767,GO:0052691
GO:0008784,GO:0018113
GO:0008784,GO:0047679
GO:0008881,GO:0018113
GO:0008922,GO:0031955
GO:0008922,GO:0031956
GO:0008938,GO:0008112
GO:0008938,GO:0046539
GO:0008966,GO:0004610
GO:0008973,GO:0004615
GO:0008988,GO:0000179
GO:0008989,GO:0008990
GO:0008990,GO:0008989
GO:0009041,GO:0004127
GO:0009224,GO:0006230
GO:0009554,GO:0009556
GO:0009556,GO:0009554
GO:0009585,GO:0007603
GO:0009585,GO:0009588
GO:0009588,GO:0007603
GO:0009588,GO:0007604
GO:0009590,GO:0050982
GO:0009645,GO:0009644
GO:0009645,GO:0055122
GO:0009647,GO:0009640
GO:0009670,GO:0015526
GO:0009673,GO:0048249
GO:0009675,GO:0009676
GO:0009676,GO:0009675
GO:0009906,GO:0009907
GO:0009907,GO:0009906
GO:0009969,GO:0045492
GO:0010018,GO:0010161
GO:0010117,GO:0042331
GO:0010161,GO:0010018
GO:0010202,GO:0010203
GO:0010203,GO:0010202
GO:0010218,GO:0010114
GO:0010224,GO:0010225
GO:0010224,GO:0070141
GO:0010225,GO:0010224
GO:0010225,GO:0070141
GO:0010244,GO:0010202
GO:0010244,GO:0055121
GO:0010292,GO:0005471
GO:0010348,GO:0015386
GO:0010348,GO:0051139
GO:0010423,GO:2000488
GO:0010486,GO:0051139
GO:0010489,GO:0003974
GO:0010489,GO:0008761
GO:0010542,GO:0015514
GO:0010610,GO:1902629
GO:0010693,GO:0010694
GO:0010694,GO:0010693
GO:0010723,GO:0036091
GO:0010772,GO:0010773
GO:0010773,GO:0010772
GO:0010774,GO:0010775
GO:0010775,GO:0010774
GO:0010776,GO:0010777
GO:0010777,GO:0010776
GO:0010778,GO:0010779
GO:0010779,GO:0010778
GO:0010780,GO:0010781
GO:0010804,GO:1903265
GO:0010845,GO:0045128
GO:0010922,GO:0010923
GO:0010923,GO:0010922
GO:0010936,GO:0060907
GO:0012507,GO:0012508
GO:0012507,GO:0012509
GO:0012508,GO:0012507
GO:0012508,GO:0012509
GO:0012509,GO:0012507
GO:0012509,GO:0012508
GO:0012510,GO:0012509
GO:0014020,GO:0001841
GO:0014020,GO:0014021
GO:0014021,GO:0001841
GO:0014021,GO:0014020
GO:0014024,GO:0014027
GO:0014027,GO:0014024
