GO:0002608,GO:0002609
GO:0002609,GO:0002608
GO:0002611,GO:0002612
GO:0002612,GO:0002611
GO:0002614,GO:0002615
GO:0002615,GO:0002614
GO:0002617,GO:0002618
GO:0002618,GO:0002617
GO:0002620,GO:0002621
GO:0002621,GO:0002620
GO:0002622,GO:0002625
GO:0002623,GO:0002624
GO:0002623,GO:0002626
GO:0002624,GO:0002623
GO:0002624,GO:0002627
GO:0002625,GO:0002622
GO:0002626,GO:0002623
GO:0002626,GO:0002627
GO:0002627,GO:0002624
GO:0002627,GO:0002626
GO:0002629,GO:0002630
GO:0002630,GO:0002629
GO:0002674,GO:0002675
GO:0002675,GO:0002674
GO:0002689,GO:0002690
GO:0002690,GO:0002689
GO:0002710,GO:0002713
GO:0002711,GO:0002714
GO:0002713,GO:0002710
GO:0002714,GO:0002711
GO:0002723,GO:0002726
GO:0002734,GO:0002735
GO:0002735,GO:0002734
GO:0002746,GO:0002747
GO:0002747,GO:0002746
GO:0002748,GO:0002751
GO:0002749,GO:0002751
GO:0002750,GO:0002421
GO:0002750,GO:0002747
GO:0002751,GO:0002748
GO:0002752,GO:0002753
GO:0002754,GO:0140894
GO:0002755,GO:0002756
GO:0002756,GO:0002755
GO:0002758,GO:0002429
GO:0002765,GO:0002768
GO:0002769,GO:0002770
GO:0002769,GO:0002771
GO:0002769,GO:0002773
GO:0002770,GO:0002769
GO:0002770,GO:0002773
GO:0002771,GO:0002769
GO:0002773,GO:0002769
GO:0002773,GO:0002770
GO:0002774,GO:0038093
GO:0002792,GO:0002793
GO:0002793,GO:0002792
GO:0002795,GO:0002796
GO:0002796,GO:0002795
GO:0002798,GO:0002799
GO:0002799,GO:0002798
GO:0002801,GO:0002802
GO:0002802,GO:0002801
GO:0002865,GO:0002866
GO:0002866,GO:0002865
GO:0002868,GO:0002869
GO:0002869,GO:0002868
GO:0002872,GO:0002873
GO:0002873,GO:0002872
GO:0002878,GO:0002865
GO:0002878,GO:0002879
GO:0002879,GO:0002866
GO:0002879,GO:0002878
GO:0002884,GO:0002885
GO:0002885,GO:0002884
GO:0002887,GO:0002888
GO:0002888,GO:0002887
GO:0002893,GO:0002894
GO:0002894,GO:0002893
GO:0002899,GO:0002900
GO:0002900,GO:0002899
GO:0002909,GO:0002910
GO:0002910,GO:0002909
GO:0002918,GO:0002909
GO:0002935,GO:0016429
GO:0002935,GO:0016430
GO:0002935,GO:0070040
GO:0003135,GO:0060499
GO:0003135,GO:0061313
GO:0003135,GO:0090243
GO:0003136,GO:0090081
GO:0003243,GO:0003244
GO:0003246,GO:0003245
GO:0003246,GO:0003247
GO:0003247,GO:0003246
GO:0003267,GO:0061315
GO:0003267,GO:0061324
GO:0003306,GO:0061289
GO:0003353,GO:0003354
GO:0003354,GO:0003353
GO:0003402,GO:0061346
GO:0003402,GO:0090179
GO:0003402,GO:1904938
GO:0004082,GO:0008966
GO:0004482,GO:0001734
GO:0004482,GO:0061953
GO:0004483,GO:0016422
GO:0004483,GO:0062152
GO:0004610,GO:0008966
GO:0004615,GO:0008973
GO:0004619,GO:0008966
GO:0004671,GO:0018423
GO:0004719,GO:0008983
GO:0004719,GO:0106370
GO:0004809,GO:0008989
GO:0004809,GO:0009019
GO:0005105,GO:0005111
GO:0005111,GO:0005105
GO:0005134,GO:0005135
GO:0005134,GO:0005136
GO:0005134,GO:0005138
GO:0005135,GO:0005134
GO:0005135,GO:0005136
GO:0005135,GO:0005137
GO:0005136,GO:0005135
GO:0005136,GO:0005137
GO:0005136,GO:0005138
GO:0005137,GO:0005136
GO:0005137,GO:0005138
GO:0005137,GO:0005139
GO:0005138,GO:0005136
GO:0005138,GO:0005137
GO:0005138,GO:0005139
GO:0005139,GO:0005137
GO:0005139,GO:0005138
GO:0005139,GO:0005140
GO:0005140,GO:0005139
GO:0005140,GO:0005141
GO:0005140,GO:0005142
GO:0005141,GO:0005137
GO:0005141,GO:0005140
GO:0005141,GO:0005142
GO:0005142,GO:0005140
GO:0005142,GO:0005141
GO:0005142,GO:0005143
GO:0005143,GO:0005141
GO:0005143,GO:0005142
GO:0005149,GO:0005134
GO:0005149,GO:0005135
GO:0005149,GO:0005137
GO:0005150,GO:0005151
GO:0005151,GO:0005150
GO:0005222,GO:0005223
GO:0005223,GO:0005222
GO:0005366,GO:0005367
GO:0005367,GO:0005366
GO:0005524,GO:1901641
GO:0005524,GO:1902249
GO:0005542,GO:0031405
GO:0005582,GO:1990318
GO:0005584,GO:0005585
GO:0005584,GO:0005586
GO:0005584,GO:0005588
GO:0005585,GO:0005584
GO:0005585,GO:0005586
GO:0005585,GO:0005588
GO:0005586,GO:0005584
GO:0005586,GO:0005585
GO:0005586,GO:0005592
GO:0005587,GO:0005591
GO:0005588,GO:0005584
GO:0005588,GO:0005585
GO:0005588,GO:0005586
GO:0005590,GO:0005595
GO:0005591,GO:0005587
