GO:0061709,GO:0016236
GO:0048667,GO:0000902
GO:0005324,GO:0015245
GO:0098792,GO:0016236
GO:0009308,GO:0008152
GO:0043468,GO:0043470
GO:0140791,GO:0140789
GO:0010130,GO:0018915
GO:0019670,GO:0006538
GO:1904216,GO:0051222
GO:0061611,GO:0006002
GO:0015501,GO:0005343
GO:0085034,GO:0085032
GO:0006984,GO:0035556
GO:2000013,GO:0000821
GO:0047934,GO:0047936
GO:1990760,GO:0022836
GO:0001637,GO:0004930
GO:0052817,GO:0047617
GO:0052675,GO:0046568
GO:0098864,GO:0098865
GO:0019654,GO:0006113
GO:1900750,GO:0033218
GO:0070930,GO:0043686
GO:0005340,GO:0015932
GO:0061738,GO:0016237
GO:0075528,GO:0019049
GO:0003950,GO:1990404
GO:0004348,GO:0017042
GO:1904215,GO:0051223
GO:0004336,GO:0017042
GO:0070431,GO:0035872
GO:0061959,GO:1901698
GO:0015657,GO:0005343
GO:0098849,GO:0140961
GO:0060360,GO:1905533
GO:0010019,GO:0035556
GO:0034586,GO:0006401
GO:0140965,GO:0034587
GO:1904423,GO:0032476
GO:0051009,GO:0003961
GO:0070592,GO:0000271
GO:1903801,GO:0089718
GO:0052001,GO:0044650
GO:0070427,GO:0035872
GO:0045252,GO:0045239
GO:0050764,GO:0030100
GO:0044302,GO:0097457
GO:0017177,GO:1902687
GO:0015655,GO:0005343
GO:0006909,GO:0006897
GO:0043463,GO:0043470
GO:0047977,GO:0004301
GO:0085017,GO:0046718
GO:0070918,GO:0006396
GO:1901606,GO:0009063
GO:0010904,GO:0043470
GO:0006879,GO:0098771
GO:1990880,GO:0140961
GO:0061724,GO:0016236
GO:0006409,GO:0006405
GO:0039521,GO:0039519
GO:0010312,GO:0061687
GO:0042450,GO:0006525
GO:0009300,GO:0006351
GO:0043604,GO:0009058
GO:0006735,GO:0006734
GO:0070881,GO:0032890
GO:1990700,GO:0006325
GO:0038066,GO:0000165
GO:1901319,GO:0009896
GO:0039525,GO:0019048
GO:0046773,GO:0039604
GO:0034518,GO:0140535
GO:0106376,GO:0106359
GO:0098739,GO:0098657
GO:0016042,GO:0009056
GO:0110040,GO:0009887
GO:0017059,GO:0002178
GO:0039522,GO:0039657
GO:0043170,GO:0008152
GO:0052781,GO:0052780
GO:0032979,GO:0051204
GO:0050765,GO:0045806
GO:0015977,GO:0008152
GO:0019420,GO:0000103
GO:0004318,GO:0016631
GO:1901363,GO:0036094
GO:0052676,GO:0046568
GO:0050766,GO:0045807
GO:0015492,GO:0005280
GO:0052553,GO:0052031
GO:0106059,GO:0016427
GO:0016060,GO:0016059
GO:0052112,GO:0052111
GO:0031445,GO:1902275
GO:0047935,GO:0047936
GO:0015173,GO:0046943
GO:0042958,GO:0042957
GO:0031126,GO:0031123
GO:0019658,GO:0019659
GO:0098865,GO:0044067
GO:0004805,GO:0050308
