Node1	Node2
GO:0001985	GO:0003063
GO:0001985	GO:0044555
GO:0001986	GO:0003108
GO:0001986	GO:0010459
GO:0001986	GO:0055118
GO:0001986	GO:0106135
GO:0001988	GO:0001996
GO:0001988	GO:0003065
GO:0001988	GO:0003066
GO:0001988	GO:0086024
GO:0001989	GO:0003099
GO:0001989	GO:0010460
GO:0001989	GO:0060452
GO:0001997	GO:0003059
GO:0001997	GO:0003061
GO:0002026	GO:0002027
GO:0002026	GO:0003053
GO:0002026	GO:0003062
GO:0002026	GO:0010459
GO:0002026	GO:0010460
GO:0002026	GO:0044554
GO:0002026	GO:0045822
GO:0002026	GO:0045823
GO:0002026	GO:0055117
GO:0002026	GO:0055118
GO:0002026	GO:0060452
GO:0002026	GO:0061337
GO:0002026	GO:0086004
GO:0002026	GO:0086091
GO:0002026	GO:1903779
GO:0002026	GO:1903780
GO:0002026	GO:1903781
GO:0002027	GO:0061337
GO:0002027	GO:1903779
GO:0002531	GO:0002026
GO:0002531	GO:0002027
GO:0002531	GO:0045822
GO:0002531	GO:0045823
GO:0002531	GO:0055117
GO:0002531	GO:0055118
GO:0002531	GO:0060452
GO:0002531	GO:0061337
GO:0002531	GO:0086004
GO:0002531	GO:0098910
GO:0002531	GO:1903779
GO:0002531	GO:1903780
GO:0002531	GO:1903781
GO:0003053	GO:0010459
GO:0003053	GO:0010460
GO:0003056	GO:0003115
GO:0003056	GO:0003116
GO:0003056	GO:0003117
GO:0003056	GO:0003118
GO:0003056	GO:0003119
GO:0003056	GO:0003120
GO:0003056	GO:0045906
GO:0003056	GO:0045907
GO:0003057	GO:0086092
GO:0003057	GO:0098735
GO:0003057	GO:0098736
GO:0003059	GO:0003061
GO:0003062	GO:0001996
GO:0003062	GO:0003053
GO:0003062	GO:0010459
GO:0003062	GO:0010460
GO:0003062	GO:0044554
GO:0003062	GO:0086091
GO:0003063	GO:0003064
GO:0003063	GO:0003065
GO:0003063	GO:0003066
GO:0003065	GO:0001996
GO:0003065	GO:0003064
GO:0003065	GO:0003066
GO:0003066	GO:0001996
GO:0003066	GO:0003064
GO:0003087	GO:0003088
GO:0003089	GO:0003090
GO:0003099	GO:0001996
GO:0003099	GO:0003058
GO:0003099	GO:0003060
GO:0003099	GO:0003065
GO:0003099	GO:0003066
GO:0003099	GO:0003108
GO:0003099	GO:0010460
