Node1	Node2
GO:0010793	GO:2000238
GO:0032240	GO:0010793
GO:0032240	GO:0032241
GO:0032240	GO:0032242
GO:0032240	GO:0032244
GO:0032240	GO:0032245
GO:0032240	GO:0032246
GO:0032240	GO:0035345
GO:0032240	GO:0035346
GO:0032240	GO:0035365
GO:0032240	GO:0035367
GO:0032240	GO:0046828
GO:0032240	GO:0046831
GO:0032240	GO:0070926
GO:0032240	GO:2000238
GO:0032241	GO:0010793
GO:0032241	GO:0032242
GO:0032241	GO:0032245
GO:0032241	GO:0032246
GO:0032241	GO:0035345
GO:0032241	GO:0035365
GO:0032241	GO:0046828
GO:0032241	GO:0046831
GO:0032241	GO:0070926
GO:0032241	GO:2000238
GO:0032242	GO:0035345
GO:0032242	GO:0035365
GO:0032243	GO:0032244
GO:0032243	GO:0032245
GO:0032243	GO:0032246
GO:0032243	GO:0032249
GO:0032243	GO:0035341
GO:0032243	GO:0035347
GO:0032243	GO:0035366
GO:0032244	GO:0032245
GO:0032244	GO:0032246
GO:0032244	GO:0032249
GO:0032244	GO:0035341
GO:0032244	GO:0035346
GO:0032244	GO:0035367
GO:0032245	GO:0032246
GO:0032247	GO:0032248
GO:0032247	GO:0032249
GO:0032247	GO:0032251
GO:0032247	GO:0035341
GO:0032247	GO:0035342
GO:0032248	GO:0032249
GO:0032248	GO:0035341
GO:0032249	GO:0035341
GO:0032250	GO:0032251
GO:0032250	GO:0035343
GO:0032251	GO:0035342
GO:0035343	GO:0035342
GO:0035345	GO:0035365
GO:0035346	GO:0035367
GO:0035347	GO:0035346
GO:0035347	GO:0035366
GO:0035366	GO:0035367
GO:0046828	GO:0010793
GO:0046828	GO:0032242
GO:0046828	GO:0035345
GO:0046828	GO:0035365
GO:0046828	GO:0046831
GO:0046828	GO:0070926
GO:0046828	GO:2000238
GO:0046829	GO:0032243
GO:0046829	GO:0035347
GO:0046829	GO:0035366
GO:0046829	GO:0046830
GO:0046829	GO:0046832
GO:0046829	GO:2000239
GO:0046830	GO:0032244
GO:0046830	GO:0035346
GO:0046830	GO:0035367
GO:0046830	GO:0046833
GO:0046830	GO:2000240
GO:0046831	GO:0032242
GO:0046831	GO:0035345
GO:0046831	GO:0035365
GO:0046831	GO:0070926
GO:0046832	GO:0010793
GO:0046832	GO:0032243
GO:0046832	GO:0035347
GO:0046832	GO:0035366
GO:0046832	GO:0046833
GO:0046832	GO:2000238
GO:0046832	GO:2000240
GO:0046833	GO:0010793
GO:0046833	GO:0032244
GO:0046833	GO:0035346
GO:0046833	GO:0035367
GO:0046833	GO:2000238
GO:0070926	GO:0032242
GO:0070926	GO:0035345
GO:0070926	GO:0035365
GO:2000239	GO:2000240
