Node1	Node2
GO:0007617	GO:0018991
GO:0007617	GO:0042711
GO:0007617	GO:0042712
GO:0007617	GO:0060746
GO:0007617	GO:0060747
GO:0007619	GO:0007620
GO:0007619	GO:0034608
GO:0007619	GO:0034609
GO:0007621	GO:0045925
GO:0007621	GO:0046008
GO:0008049	GO:0008050
GO:0008049	GO:0034608
GO:0008049	GO:0034609
GO:0016543	GO:0016544
GO:0016543	GO:0016545
GO:0016543	GO:0016546
GO:0016543	GO:0045433
GO:0016543	GO:0048065
GO:0016544	GO:0016545
GO:0016544	GO:0016546
GO:0016544	GO:0048065
GO:0018991	GO:0042711
GO:0018991	GO:0042712
GO:0018991	GO:0060746
GO:0018991	GO:0060747
GO:0034606	GO:0008049
GO:0034606	GO:0034608
GO:0034606	GO:0034609
GO:0034607	GO:0008049
GO:0034607	GO:0034606
GO:0034607	GO:0034608
GO:0034607	GO:0034609
GO:0034608	GO:0034609
GO:0035648	GO:0007619
GO:0035648	GO:0007620
GO:0035648	GO:0034608
GO:0035648	GO:0034609
GO:0035648	GO:0060179
GO:0035648	GO:0060180
GO:0042711	GO:0042712
GO:0042711	GO:0060747
GO:0042712	GO:0060747
GO:0045433	GO:0016544
GO:0045433	GO:0016545
GO:0045433	GO:0016546
GO:0045433	GO:0048065
GO:0045434	GO:0046009
GO:0045924	GO:0008050
GO:0045925	GO:0046008
GO:0048047	GO:0007619
GO:0048047	GO:0007620
GO:0048047	GO:0034606
GO:0048047	GO:0034608
GO:0048047	GO:0034609
GO:0048047	GO:0035648
GO:0048047	GO:0045924
GO:0048047	GO:0060179
GO:0048047	GO:0060180
GO:0048065	GO:0016546
GO:0060179	GO:0007619
GO:0060179	GO:0007620
GO:0060179	GO:0060180
GO:0060180	GO:0007619
GO:0060180	GO:0007620
