GO:0036105	GO:0036106
GO:0036123	GO:0036124
GO:0036252	GO:0097239
GO:0036278	GO:0036003
GO:0036376	GO:0098719
GO:0036400	GO:0042263
GO:0036415	GO:0044357
GO:0036444	GO:0099093
GO:0038117	GO:0038121
GO:0038122	GO:0038149
GO:0039020	GO:0072234
GO:0039505	GO:0046776
GO:0039540	GO:0039548
GO:0039540	GO:0039554
GO:0039545	GO:0039548
GO:0039545	GO:0039723
GO:0039548	GO:0039557
GO:0039548	GO:0039723
GO:0039554	GO:0039723
GO:0039557	GO:0039723
GO:0039560	GO:0039574
GO:0042008	GO:0042016
GO:0042010	GO:0042012
GO:0042037	GO:0042038
GO:0042292	GO:0071566
GO:0042300	GO:0042561
GO:0042310	GO:0042311
GO:0042424	GO:0006598
GO:0042784	GO:0042785
GO:0042786	GO:0042785
GO:0042814	GO:0042815
GO:0043489	GO:0050779
GO:0043758	GO:0047612
GO:0043990	GO:0043991
GO:0044102	GO:0106130
GO:0044166	GO:0044165
GO:0044172	GO:0044165
GO:0044220	GO:0044166
GO:0044648	GO:0097692
GO:0045016	GO:1990540
GO:0045038	GO:0045037
GO:0045041	GO:0030150
GO:0045049	GO:0045050
GO:0045049	GO:0045051
GO:0045050	GO:0045052
GO:0045051	GO:0045050
GO:0045051	GO:0045052
GO:0045271	GO:0045275
GO:0045945	GO:1904281
GO:0046203	GO:0046208
GO:0046282	GO:0046281
GO:0046537	GO:0046538
GO:0046736	GO:0046738
GO:0046737	GO:0046738
GO:0046740	GO:0046741
GO:0046754	GO:0099045
GO:0046895	GO:0046896
GO:0046895	GO:0046897
GO:0046932	GO:0046962
GO:0047438	GO:0047440
GO:0047440	GO:0061677
GO:0047475	GO:0047760
GO:0047676	GO:0090433
GO:0047702	GO:0047826
GO:0047826	GO:0050066
GO:0047892	GO:0052636
GO:0048250	GO:0036444
GO:0048250	GO:0140636
GO:0048295	GO:0048298
GO:0048295	GO:0048304
GO:0048298	GO:0048301
GO:0048298	GO:0048304
GO:0048301	GO:0048304
GO:0048490	GO:0048491
GO:0048502	GO:0031458
GO:0048576	GO:0048578
GO:0048577	GO:0048579
GO:0048673	GO:0048674
GO:0048911	GO:0048929
GO:0048940	GO:0048942
GO:0050047	GO:0050066
GO:0051214	GO:0051215
GO:0051483	GO:0051485
GO:0052088	GO:0052165
GO:0052103	GO:0052104
GO:0052154	GO:0052155
GO:0052159	GO:0052160
GO:0052344	GO:0052062
GO:0052685	GO:0052686
GO:0052687	GO:0052688
GO:0052923	GO:0097269
GO:0052924	GO:0097269
GO:0055051	GO:0055052
GO:0060085	GO:0060087
GO:0060201	GO:0060203
GO:0060201	GO:0070083
GO:0060203	GO:0070083
GO:0060525	GO:0030850
GO:0060566	GO:2000144
GO:0060672	GO:0003381
GO:0061126	GO:0061128
GO:0061202	GO:0060201
GO:0061220	GO:0072227
GO:0061232	GO:0072244
GO:0061399	GO:0061400
GO:0061405	GO:0061400
GO:0061408	GO:0061409
GO:0061408	GO:0061411
GO:0061412	GO:0061406
GO:0061413	GO:0000431
GO:0061429	GO:0000432
GO:0061429	GO:0000435
GO:0061508	GO:0061569
GO:0061577	GO:0090676
GO:0061615	GO:0061625
GO:0061616	GO:0061619
GO:0061616	GO:0061625
GO:0061633	GO:0061622
GO:0061760	GO:0140374
GO:0062038	GO:0032874
GO:0062082	GO:0062083
GO:0062243	GO:0062245
GO:0070114	GO:0070113
GO:0070386	GO:0070387
GO:0070386	GO:0070388
GO:0070387	GO:0070388
GO:0070429	GO:0070433
GO:0070610	GO:0090093
GO:0070644	GO:0032810
GO:0070830	GO:1904274
GO:0070888	GO:0071820
GO:0070945	GO:0070946
GO:0071192	GO:0071193
GO:0071192	GO:0071194
GO:0071193	GO:0071194
GO:0071194	GO:0071195
GO:0071197	GO:0071200
GO:0071198	GO:0071199
GO:0071198	GO:0071200
GO:0071201	GO:0071202
GO:0071210	GO:0098737
GO:0071244	GO:0071245
GO:0071246	GO:0071247
GO:0071249	GO:0071250
GO:0071250	GO:0072701
GO:0071278	GO:0071285
GO:0071279	GO:0071290
GO:0071280	GO:0071292
GO:0071284	GO:0071292
GO:0071284	GO:0071294
GO:0071290	GO:0071292
GO:0071290	GO:0071294
GO:0071294	GO:0071292
GO:0071299	GO:0071301
GO:0071301	GO:0071303
GO:0071302	GO:0071303
GO:0071305	GO:0071306
GO:0071694	GO:0032507
GO:0071877	GO:1904990
GO:0072019	GO:0072014
GO:0072020	GO:0072014
GO:0072063	GO:0072064
GO:0072092	GO:0061137
GO:0072221	GO:0072235
GO:0072229	GO:0072237
GO:0072230	GO:0072237
GO:0072271	GO:0072269
GO:0072345	GO:0140417
GO:0072382	GO:0072383
GO:0072385	GO:0072386
GO:0072546	GO:0160005
GO:0075120	GO:0075119
GO:0080050	GO:1900140
GO:0086039	GO:1905056
GO:0086056	GO:0086059
GO:0086060	GO:0086063
GO:0090438	GO:0031559
GO:0090473	GO:0090475
GO:0090719	GO:0090717
GO:0097051	GO:1903540
GO:0097582	GO:0097583
GO:0097582	GO:0097584
GO:0097583	GO:0097585
GO:0097584	GO:0097585
GO:0097623	GO:1990573
GO:0098550	GO:0098551
GO:0098554	GO:0010009
GO:0098555	GO:0098558
GO:0098556	GO:0098557
GO:0098559	GO:0098560
GO:0098569	GO:0098576
GO:0098570	GO:0098572
GO:0098571	GO:0098572
GO:0098706	GO:0098711
GO:0098706	GO:1903988
GO:0098711	GO:0071578
GO:0098711	GO:1903988
GO:0098863	GO:0030473
GO:0098934	GO:0098937
