GO_1	GO_2	GO_1_Depth	GO_1_Leaf_Distance	GO_2_Depth	GO_2_Leaf_Distance	GO_1_to_GO_2_Hops_Undirected
GO:0015550	GO:0046943	6	0	4.0	1.0	3.0
GO:1905830	GO:0050996	6	0	6.0	1.0	2.0
GO:1902555	GO:1905348	3	1	3.0	1.0	2.0
GO:0046415	GO:0072521	4	1	4.0	2.0	4.0
GO:0015496	GO:0015297	5	0	5.0	1.0	2.0
GO:1903579	GO:1900543	5	1	7.0	1.0	2.0
GO:0044675	GO:1902494	2	0	2.0	1.0	2.0
GO:1900578	GO:0046394	4	0	5.0	1.0	2.0
GO:0036051	GO:0008104	5	1	3.0	1.0	2.0
GO:0010486	GO:0051139	6	0	6.0	1.0	2.0
GO:0016255	GO:0036211	6	0	4.0	2.0	2.0
GO:0045119	GO:0015297	4	1	5.0	1.0	3.0
GO:0035158	GO:0035151	6	0	4.0	2.0	2.0
GO:0017101	GO:1902494	2	0	2.0	1.0	2.0
GO:2000058	GO:0031329	8	3	5.0	1.0	3.0
GO:0030015	GO:0140535	2	0	2.0	1.0	2.0
GO:1990539	GO:0015755	6	0	6.0	1.0	2.0
GO:1902341	GO:0034219	6	1	3.0	1.0	2.0
GO:0035751	GO:0065008	9	1	2.0	1.0	6.0
GO:0035432	GO:0034764	8	0	5.0	1.0	3.0
GO:0006735	GO:0008152	3	1	1.0	1.0	2.0
GO:0048520	GO:0051240	4	1	4.0	1.0	2.0
GO:0061057	GO:0002221	4	0	4.0	1.0	2.0
GO:0015813	GO:0051938	5	1	6.0	1.0	2.0
GO:0030642	GO:0055082	7	0	3.0	1.0	4.0
GO:1901683	GO:0022857	5	1	2.0	1.0	3.0
GO:1900178	GO:0051172	6	0	5.0	1.0	3.0
GO:0052929	GO:0070566	9	0	5.0	1.0	4.0
GO:0015607	GO:0034040	4	0	3.0	1.0	3.0
GO:2001306	GO:0042759	5	0	6.0	1.0	3.0
GO:1904350	GO:0042176	7	2	5.0	1.0	2.0
GO:1904359	GO:0050794	5	2	3.0	1.0	2.0
GO:0033242	GO:0009895	7	1	5.0	1.0	2.0
GO:0030394	GO:0019752	4	0	5.0	1.0	3.0
GO:0015724	GO:0071705	6	1	4.0	1.0	3.0
GO:0042542	GO:0010033	4	1	3.0	1.0	3.0
GO:0010961	GO:0030003	7	0	5.0	1.0	2.0
GO:0032364	GO:0055082	6	0	3.0	1.0	3.0
GO:0010524	GO:1904427	4	1	7.0	1.0	2.0
GO:0002951	GO:0008242	5	0	4.0	1.0	3.0
GO:0030007	GO:0030003	7	1	5.0	1.0	2.0
GO:0006777	GO:0032324	5	1	4.0	0.0	2.0
GO:0009694	GO:0001676	4	1	5.0	1.0	3.0
GO:0018214	GO:0036211	6	1	4.0	2.0	2.0
GO:0033054	GO:0043170	6	0	3.0	1.0	5.0
GO:0060525	GO:0003006	4	0	2.0	1.0	2.0
GO:0043858	GO:0015297	6	0	5.0	1.0	3.0
GO:0061907	GO:0032413	5	0	5.0	1.0	2.0
GO:2001247	GO:0031328	7	0	6.0	1.0	2.0
GO:0034148	GO:0002683	7	0	4.0	1.0	4.0
GO:2000259	GO:1903319	5	1	7.0	1.0	2.0
GO:0106150	GO:0046189	5	0	5.0	1.0	3.0
GO:1904314	GO:0071418	5	0	5.0	1.0	5.0
GO:1901030	GO:0035794	5	1	5.0	3.0	3.0
GO:0090675	GO:0034109	2	0	4.0	1.0	4.0
GO:0042864	GO:0046394	5	0	5.0	1.0	2.0
GO:0031990	GO:1901698	5	0	3.0	1.0	5.0
GO:0019783	GO:0008233	5	1	3.0	1.0	2.0
GO:0016595	GO:0033218	5	0	2.0	1.0	3.0
GO:0033591	GO:1902074	5	1	3.0	2.0	4.0
GO:0060965	GO:1900369	5	1	5.0	1.0	2.0
GO:2000867	GO:2000831	5	1	5.0	2.0	2.0
GO:0033588	GO:1902494	3	0	2.0	1.0	3.0
GO:0030208	GO:0046364	5	0	4.0	1.0	5.0
GO:0060410	GO:0031324	5	1	5.0	1.0	2.0
GO:0050568	GO:0140096	5	0	2.0	1.0	4.0
