id	related_id
GO:1903595	GO:0051240
GO:2000352	GO:0043066
GO:0046984	GO:0010556
GO:1903852	GO:0010638
GO:1904772	GO:0042221
GO:0071235	GO:1901699
GO:1904391	GO:1901698
GO:1905270	GO:0021895
GO:0000131	GO:0030427
GO:0140886	GO:0052029
GO:0061611	GO:0006002
GO:0120213	GO:0031326
GO:0018401	GO:0019471
GO:0015179	GO:0046943
GO:0000316	GO:0098661
GO:0097335	GO:1901698
GO:1900495	GO:0045934
GO:0015821	GO:0006865
GO:0009052	GO:0019682
GO:1900484	GO:0090317
GO:1901967	GO:0048523
GO:1900501	GO:0045934
GO:0010559	GO:0010556
GO:0120251	GO:0009058
GO:0071444	GO:0070887
GO:0031028	GO:0007264
GO:0140742	GO:0006351
GO:0010493	GO:0000271
GO:0062134	GO:0062013
GO:0006749	GO:0006790
GO:0019655	GO:0006006
GO:0070961	GO:0051712
GO:1901376	GO:0008152
GO:0006749	GO:0043603
GO:1903343	GO:0051054
GO:0043602	GO:0009056
GO:1904959	GO:0051341
GO:2000950	GO:0045913
GO:0098963	GO:0098935
GO:0019401	GO:0016051
GO:0006096	GO:0006091
GO:1900421	GO:0009896
GO:0052151	GO:0001907
GO:0051269	GO:0016620
GO:0034585	GO:0016070
GO:0015716	GO:0015698
GO:0098745	GO:0032991
GO:0006396	GO:0044238
GO:0035832	GO:1901615
GO:2000060	GO:0009896
GO:2000999	GO:0009896
GO:0110104	GO:0031124
GO:0072749	GO:1901699
GO:0045892	GO:1902679
GO:0045809	GO:0048522
GO:0043864	GO:0004040
GO:0071225	GO:1901701
GO:0034635	GO:0042939
GO:0047388	GO:0016779
GO:0015715	GO:0015748
GO:0102614	GO:0016712
GO:0080098	GO:0008793
GO:0001907	GO:0031640
GO:0052085	GO:0039504
GO:1902986	GO:0031326
GO:0071046	GO:0071027
GO:1903638	GO:0090316
GO:0036272	GO:1901698
GO:0015501	GO:0005343
GO:0007516	GO:0030097
GO:0048641	GO:0016202
GO:0085034	GO:0085032
GO:0043759	GO:0031955
GO:0019664	GO:0006089
GO:0045739	GO:0048584
GO:0031030	GO:0051058
GO:0034161	GO:1902533
GO:0045304	GO:0050794
GO:0035359	GO:1902532
GO:0010238	GO:1901698
GO:0120215	GO:0062013
GO:0120225	GO:0033218
GO:0010431	GO:0021700
GO:1902601	GO:0098662
GO:0098927	GO:0016197
GO:0045808	GO:0048523
GO:0033013	GO:0008152
GO:1903197	GO:0031328
GO:0047322	GO:0004674
GO:0072529	GO:0009056
GO:1904102	GO:1901699
GO:0048612	GO:0007439
GO:0036260	GO:0000966
GO:0045038	GO:0072596
GO:0051625	GO:0006810
GO:0006623	GO:0006886
GO:1901335	GO:0009056
GO:0017001	GO:0009056
GO:0006587	GO:0006586
GO:1905243	GO:1901699
GO:0080020	GO:0031326
GO:0009099	GO:0009079
GO:0097751	GO:0032502
GO:0048015	GO:0035556
GO:0080020	GO:0062012
GO:0090358	GO:0031325
GO:0030810	GO:0009891
GO:0140035	GO:0030674
GO:0043201	GO:1901700
GO:0071035	GO:0071027
GO:1900515	GO:0043465
GO:0015803	GO:0046942
GO:0033621	GO:0071028
GO:0042726	GO:0008152
GO:2001172	GO:0010907
GO:1904402	GO:1901698
GO:0019787	GO:0016755
GO:1901554	GO:1901698
GO:1904601	GO:0015031
GO:0045304	GO:0048583
GO:0042956	GO:0042955
GO:0006984	GO:0035556
GO:0003957	GO:0016652
GO:0048249	GO:0005315
GO:0015607	GO:0015932
GO:0032328	GO:0071705
GO:2000013	GO:0000821
GO:1900288	GO:0009894
GO:0034553	GO:0097250
GO:0039656	GO:0044068
GO:0008664	GO:0008081
GO:0120227	GO:1901265
GO:0102571	GO:0140096
GO:0050140	GO:0008940
GO:0009813	GO:0009058
GO:0071414	GO:1901699
GO:0016595	GO:0031406
GO:2000487	GO:0032892
GO:1904560	GO:1901698
GO:0047934	GO:0047936
GO:0110042	GO:0110111
GO:0030713	GO:0000902
GO:0019113	GO:0004497
GO:2001294	GO:1901292
GO:0075325	GO:0022414
GO:2000058	GO:0009894
GO:0035402	GO:0004674
GO:2000215	GO:0031324
GO:0004573	GO:0090599
GO:0010411	GO:0044042
GO:0045283	GO:0098796
GO:1990760	GO:0022836
GO:0001637	GO:0004930
GO:0018576	GO:0016702
GO:2000640	GO:1902533
GO:0043045	GO:0040029
GO:1905521	GO:0071675
GO:0006865	GO:0006810
GO:0048601	GO:0000902
GO:0019356	GO:0009072
GO:0008553	GO:0015078
GO:0019776	GO:0061659
GO:1901135	GO:0008152
GO:0048386	GO:1902533
GO:0042800	GO:0016279
GO:0035498	GO:0043603
GO:1903267	GO:0062014
GO:1902778	GO:0042221
GO:0050093	GO:0004022
GO:0045863	GO:0009892
GO:0072527	GO:0008152
GO:0010907	GO:0045913
GO:1990818	GO:0015695
GO:1904586	GO:1901699
GO:0072712	GO:1901698
GO:1900573	GO:0042180
GO:0006523	GO:1901607
GO:0008655	GO:0072528
GO:0035946	GO:0000958
GO:1903268	GO:0062013
GO:0015094	GO:0046873
GO:0052078	GO:0052029
GO:0015817	GO:0071705
GO:0051947	GO:0032890
GO:0043434	GO:1901700
GO:0072715	GO:1901701
GO:0017046	GO:0033218
GO:2001294	GO:0072523
GO:0050825	GO:0036094
GO:1903533	GO:0070201
GO:0080007	GO:0016616
GO:0052906	GO:0016423
GO:0043201	GO:1901698
GO:0051873	GO:0031640
GO:0061734	GO:0000423
GO:2001154	GO:0010906
GO:0070864	GO:0110165
GO:0044590	GO:0051536
GO:0046375	GO:0005976
GO:0015816	GO:0015695
GO:0120225	GO:1901265
GO:2000998	GO:0045912
GO:0035833	GO:1901617
GO:0019236	GO:0042221
GO:0019664	GO:0015942
GO:0052817	GO:0047617
GO:1903321	GO:1901874
GO:1900501	GO:0045936
GO:0010636	GO:0010638
GO:0090052	GO:0031445
GO:1900502	GO:0045937
GO:1904555	GO:0015695
GO:0008914	GO:0140096
GO:0033857	GO:0000829
GO:0043279	GO:1901698
GO:0042277	GO:0005488
GO:0006547	GO:0052803
GO:0120256	GO:0009056
GO:1900832	GO:0009083
GO:1904646	GO:1901699
GO:0035025	GO:0051057
GO:0021707	GO:1905962
GO:0140215	GO:0032890
GO:0031031	GO:0051057
GO:1901607	GO:0046394
GO:1903576	GO:1901700
GO:1901056	GO:0006598
GO:0031667	GO:0050896
GO:0106413	GO:0016628
GO:0060194	GO:0006355
GO:1901464	GO:0009890
GO:0071680	GO:1901698
GO:0097338	GO:1901698
GO:0052675	GO:0046568
GO:0061532	GO:0061531
GO:0072544	GO:0031406
GO:0080020	GO:0034248
GO:1902670	GO:0036094
GO:0110142	GO:1902494
GO:0045935	GO:0009893
GO:0019664	GO:0006103
GO:0071460	GO:0051716
GO:2001196	GO:0031328
GO:1901264	GO:0006810
GO:0140592	GO:0016274
GO:0071524	GO:0008652
GO:0006749	GO:0006575
GO:0097068	GO:1901700
GO:0014074	GO:1901698
GO:0080040	GO:0048522
GO:0015824	GO:0046942
GO:0004732	GO:0004031
GO:0098864	GO:0098865
GO:1900486	GO:0045935
GO:0004362	GO:0016668
GO:2000013	GO:2000282
GO:1905568	GO:0034248
GO:0052078	GO:0052170
GO:0001761	GO:0046943
GO:0008787	GO:0004396
GO:0002156	GO:1902532
GO:1902061	GO:0008152
GO:0033232	GO:0033284
GO:0102673	GO:0004029
GO:1900351	GO:0009889
GO:0102025	GO:0015117
GO:0019654	GO:0006113
GO:0039593	GO:0044071
GO:0015801	GO:0071705
GO:1903785	GO:0015695
GO:1903637	GO:0010639
GO:1903493	GO:1901698
GO:1901850	GO:0008152
GO:0043434	GO:1901698
GO:0072545	GO:0031406
GO:2001210	GO:0019219
GO:0006809	GO:0009058
GO:0070025	GO:0036094
GO:0061538	GO:0015801
GO:2001308	GO:0043603
GO:0070781	GO:1901698
GO:1904473	GO:1901700
GO:0005905	GO:0016020
GO:1903624	GO:0009894
GO:0140484	GO:0071705
GO:0000048	GO:0140096
GO:0003939	GO:0004022
GO:0033266	GO:0140359
GO:0097638	GO:0015695
GO:1901162	GO:0009058
GO:0044727	GO:0044725
GO:0140762	GO:0016901
GO:0098703	GO:0070509
GO:0006868	GO:0071705
GO:0009226	GO:1901293
GO:0052884	GO:0050253
GO:1904880	GO:0042221
GO:1905431	GO:0042886
GO:2000882	GO:0009895
GO:0002037	GO:0032891
GO:1903788	GO:0051176
GO:0110135	GO:0007166
GO:1904482	GO:0071407
GO:1900497	GO:0031329
GO:0009081	GO:0019752
GO:0015304	GO:0055056
GO:0045893	GO:1902680
GO:0022858	GO:0015101
GO:1901463	GO:0009889
GO:1901414	GO:0062014
GO:0072729	GO:0070887
GO:0061610	GO:1901135
GO:0019356	GO:1901605
GO:1905232	GO:1901701
GO:0061546	GO:0061545
GO:1900750	GO:0033218
GO:0072745	GO:1901699
GO:0042941	GO:1905039
GO:0005219	GO:0048763
GO:0030420	GO:0051716
GO:0032500	GO:0033218
GO:0033819	GO:0016747
GO:0042371	GO:0042181
GO:0033214	GO:0098657
GO:0005427	GO:0015291
GO:0050652	GO:0000271
GO:0070920	GO:0080090
GO:0032443	GO:0031323
GO:0016180	GO:0006396
GO:0070930	GO:0043686
GO:0046183	GO:0016052
GO:1904810	GO:0032387
GO:0071939	GO:0098657
GO:0048473	GO:1905039
GO:1903801	GO:0015820
GO:0070949	GO:0051709
GO:0140300	GO:1905039
GO:0046379	GO:0005976
GO:0016059	GO:0032102
GO:2000351	GO:0042981
GO:1901107	GO:0042180
GO:1902063	GO:0009058
GO:0048489	GO:0009987
GO:0009225	GO:0006753
GO:0042560	GO:0009056
GO:0005981	GO:0043470
GO:0008859	GO:0000175
GO:1904374	GO:1901701
GO:0070874	GO:0045912
GO:0072328	GO:0036094
GO:1901997	GO:0062014
GO:0046356	GO:0072523
GO:0001762	GO:0046942
GO:0036239	GO:0016712
GO:0120246	GO:0008152
GO:0052582	GO:0016712
GO:0000423	GO:0016236
GO:1905589	GO:0032892
GO:0043069	GO:0048523
GO:0106305	GO:0000272
GO:0005356	GO:0055056
GO:0046898	GO:1901698
GO:0106402	GO:1901137
GO:0042959	GO:0033283
GO:0051676	GO:0044042
GO:1903249	GO:0062014
GO:1902349	GO:1901698
GO:0018631	GO:0016712
GO:0019670	GO:0019666
GO:0003912	GO:0034061
GO:0140933	GO:0016462
GO:1905624	GO:0032890
GO:1905523	GO:0071677
GO:0046378	GO:0005976
GO:0033487	GO:0009813
GO:1900072	GO:1903797
GO:0019385	GO:0006083
GO:0005340	GO:0015932
GO:0018675	GO:0016712
GO:0042838	GO:0016052
GO:0098633	GO:0050840
GO:0090454	GO:0071705
GO:0006525	GO:1901605
GO:0047323	GO:0004674
GO:1904845	GO:1901701
GO:0005968	GO:0032476
GO:0016074	GO:0016070
GO:0006587	GO:0009072
GO:1901414	GO:0045934
GO:0052086	GO:0039504
GO:0033615	GO:0097250
GO:0016308	GO:0052742
GO:0050207	GO:0051213
GO:0019098	GO:0048609
GO:0071681	GO:1901699
GO:0010905	GO:0045912
GO:0048896	GO:0008347
GO:1903927	GO:0042221
GO:0072526	GO:0009056
GO:0051873	GO:0140546
GO:0061738	GO:0016237
GO:0046112	GO:0009058
GO:0075528	GO:0019049
GO:0004745	GO:0004022
GO:0061431	GO:1901701
GO:1904025	GO:0031325
GO:0005298	GO:0046943
GO:1905795	GO:1901699
GO:1904448	GO:0032890
GO:0019808	GO:0043176
GO:0003950	GO:1990404
GO:0061538	GO:0015695
GO:0071872	GO:0070887
GO:0046182	GO:0016051
GO:1903702	GO:0048856
GO:1903196	GO:0062014
GO:1903181	GO:0009891
GO:1901437	GO:0019222
GO:0098697	GO:1905058
GO:0009072	GO:0019752
GO:0098803	GO:0032991
GO:0052803	GO:0008152
GO:1903249	GO:0031327
GO:1903753	GO:0043409
GO:0047295	GO:0002094
GO:1905439	GO:1901700
GO:0071321	GO:1901699
GO:0015871	GO:0071705
GO:0042558	GO:0008152
GO:2001277	GO:0062014
GO:1902835	GO:0032891
GO:1902374	GO:0009894
GO:1900079	GO:0031326
GO:1905921	GO:0009889
GO:0061768	GO:0015095
GO:0106303	GO:0005976
GO:0120255	GO:0009058
GO:0062122	GO:0016279
GO:1901161	GO:0009056
GO:0060497	GO:0007267
GO:0019954	GO:0022414
GO:0004348	GO:0017042
GO:0045259	GO:1902494
GO:0015190	GO:0015101
GO:0018862	GO:0016831
GO:1904583	GO:1901698
GO:0030812	GO:0009895
GO:1900828	GO:0009072
GO:2000641	GO:0032386
GO:0030711	GO:0048518
GO:0072753	GO:1901701
GO:0019215	GO:0005488
GO:0039646	GO:0044071
GO:0046376	GO:0006753
GO:1900079	GO:0000820
GO:0106279	GO:0009890
GO:0018930	GO:0008152
GO:0071415	GO:1901699
GO:0016281	GO:0034518
GO:0048938	GO:0000902
GO:1905440	GO:1901699
GO:0043705	GO:0043603
GO:1905119	GO:1901698
GO:0010467	GO:0009059
GO:1900831	GO:0009081
GO:0015826	GO:0046942
GO:0019314	GO:0019318
GO:0035658	GO:0032045
GO:1904373	GO:1901700
GO:0018915	GO:0120253
GO:0018694	GO:0016713
GO:1900356	GO:0009893
GO:0006116	GO:0006734
GO:0045037	GO:0072596
GO:0016558	GO:0072663
GO:0034589	GO:0046942
GO:0061775	GO:0140097
GO:0033226	GO:0036094
GO:0003923	GO:0016769
GO:1903714	GO:1905039
GO:0050812	GO:0019220
GO:0016156	GO:0000104
GO:1904960	GO:0051353
GO:1903196	GO:0031327
GO:2000642	GO:0032387
GO:0030417	GO:0006520
GO:0042193	GO:0009056
GO:0039678	GO:0016032
GO:1905442	GO:1901701
GO:0072748	GO:1901699
GO:0033569	GO:0008320
GO:1904215	GO:0051223
GO:0022871	GO:0055056
GO:0008381	GO:0022836
GO:0043487	GO:0009894
GO:0061013	GO:0009894
GO:0072340	GO:0009056
GO:1905534	GO:0032892
GO:0050419	GO:0016832
GO:0035401	GO:0004713
GO:0033143	GO:1902531
GO:0006839	GO:0006810
GO:1903931	GO:0031325
GO:0000514	GO:0000099
GO:0045040	GO:0090151
GO:0000285	GO:0052742
GO:2001277	GO:0031327
GO:0032329	GO:0071705
GO:0042281	GO:0004583
GO:0015849	GO:0006810
GO:1905439	GO:1901698
GO:0009256	GO:0046653
GO:0021943	GO:0000902
GO:0007266	GO:0007264
GO:0042765	GO:1990234
GO:0070905	GO:0031406
GO:0006548	GO:0052805
GO:0036193	GO:0016712
GO:0097603	GO:0022836
GO:0140355	GO:0005515
GO:0015827	GO:0015695
GO:0015699	GO:0098661
GO:0103045	GO:0008080
GO:0160028	GO:0050728
GO:1900497	GO:0019220
GO:1903315	GO:0009892
GO:0140743	GO:0006355
GO:0061722	GO:0046034
GO:0004336	GO:0017042
GO:0042893	GO:0042886
GO:0030269	GO:0015081
GO:0033590	GO:1901698
GO:0090201	GO:0010639
GO:1904308	GO:1901699
GO:0047294	GO:0004659
GO:0033308	GO:1905039
GO:0050436	GO:0050840
GO:0039532	GO:1902532
GO:0140826	GO:0005385
GO:1990542	GO:0006839
GO:0043067	GO:0050794
GO:0062085	GO:0045913
GO:1900999	GO:0009058
GO:0042940	GO:0046942
GO:1900962	GO:0009889
GO:1904407	GO:0009893
GO:0010815	GO:0043603
GO:0042450	GO:1901607
GO:0090455	GO:1905039
GO:0016212	GO:0008483
GO:0002144	GO:1990228
GO:0052659	GO:0004445
GO:0090105	GO:0002068
GO:0019634	GO:0043436
GO:1904373	GO:1901698
GO:1904016	GO:0042221
GO:0010038	GO:0042221
GO:0071318	GO:1901699
GO:1901414	GO:0045936
GO:1905629	GO:0009891
GO:0051379	GO:0042562
GO:0070501	GO:0009059
GO:0034194	GO:0016052
GO:0015830	GO:0071705
GO:1901404	GO:0009894
GO:0070908	GO:0005302
GO:0004328	GO:0004040
GO:1901124	GO:0043604
GO:0060586	GO:0055080
GO:0070431	GO:0035872
GO:1905375	GO:1901699
GO:0005229	GO:0099095
GO:1900829	GO:0009074
GO:0042131	GO:0016791
GO:0051950	GO:0032892
GO:0033176	GO:0090533
GO:0035499	GO:0043604
GO:0061959	GO:1901698
GO:0099099	GO:0022836
GO:0042854	GO:0120254
GO:0032108	GO:0048585
GO:0043100	GO:0019856
GO:0052905	GO:0016423
GO:0080053	GO:1901700
GO:1900355	GO:0009892
GO:0047241	GO:0000026
GO:0047151	GO:0016300
GO:1900516	GO:1901003
GO:1902610	GO:0042221
GO:0050761	GO:0043603
GO:0070611	GO:0016274
GO:2001003	GO:0043470
GO:0015657	GO:0005343
GO:0061792	GO:0071695
GO:0071043	GO:0016070
GO:1902795	GO:0140718
GO:0032494	GO:1901698
GO:0140412	GO:0005385
GO:0071036	GO:0071027
GO:1900486	GO:0062013
GO:0120174	GO:1901698
GO:0097411	GO:0035556
GO:0019953	GO:0022414
GO:0033769	GO:0016712
GO:0015938	GO:1901292
GO:0019400	GO:0005975
GO:1901562	GO:0042221
GO:0010146	GO:0000271
GO:0071234	GO:1901701
GO:0021773	GO:0097154
GO:2001119	GO:0008152
GO:0046440	GO:0009066
GO:0019700	GO:0009056
GO:0010770	GO:0022604
