Node1	Node2
GO:0000740	GO:0006906
GO:0000740	GO:0034058
GO:0000740	GO:0036504
GO:0000740	GO:0061472
GO:0000740	GO:0061763
GO:0000740	GO:0061909
GO:0000740	GO:0061910
GO:0000740	GO:0061911
GO:0000740	GO:0090385
GO:0000740	GO:0120211
GO:0000740	GO:1990613
GO:0000742	GO:0007344
GO:0000742	GO:0010197
GO:0000742	GO:0120211
GO:0000744	GO:0000742
GO:0000744	GO:0007344
GO:0000744	GO:0010197
GO:0007086	GO:0019817
GO:0007086	GO:0031629
GO:0007086	GO:0034058
GO:0007086	GO:0048210
GO:0007086	GO:0048279
GO:0007086	GO:0048280
GO:0007086	GO:0048288
GO:0007086	GO:0051469
GO:0007086	GO:0061763
GO:0007086	GO:0061782
GO:0007086	GO:0061909
GO:0007086	GO:0061910
GO:0007086	GO:0061911
GO:0007086	GO:0090385
GO:0007086	GO:0090389
GO:0007086	GO:0098866
GO:0007086	GO:0099500
GO:0007086	GO:0120211
GO:0007086	GO:1990668
GO:0007086	GO:1990670
GO:0007086	GO:1990671
GO:0007086	GO:1990672
GO:0007086	GO:1990687
GO:0007086	GO:1990688
GO:0007086	GO:1990690
GO:0007086	GO:1990691
GO:0007086	GO:1990692
GO:0008053	GO:0000741
GO:0008053	GO:0006906
GO:0008053	GO:0097576
GO:0010197	GO:0007344
GO:0016189	GO:0000740
GO:0016189	GO:0000741
GO:0016189	GO:0006906
GO:0016189	GO:0008053
GO:0016189	GO:0016320
GO:0016189	GO:0036504
GO:0016189	GO:0042144
GO:0016189	GO:0051469
GO:0016189	GO:0061472
GO:0016189	GO:0090174
GO:0016189	GO:0097576
GO:0016189	GO:1990613
GO:0016320	GO:0000740
GO:0016320	GO:0006906
GO:0016320	GO:0036504
GO:0016320	GO:0061472
GO:0016320	GO:1990613
GO:0016320	GO:1990626
GO:0016320	GO:1990627
GO:0019817	GO:0034058
GO:0019817	GO:0051469
GO:0019817	GO:0061763
GO:0019817	GO:0061782
GO:0019817	GO:0061909
GO:0019817	GO:0061910
GO:0019817	GO:0061911
GO:0019817	GO:0090385
GO:0019817	GO:0120211
GO:0031629	GO:0098866
GO:0034058	GO:0061763
GO:0034058	GO:0061909
GO:0034058	GO:0061910
GO:0034058	GO:0061911
GO:0034058	GO:0090385
GO:0034058	GO:0120211
GO:0036504	GO:0006906
GO:0036504	GO:0061472
GO:0036504	GO:1990613
GO:0048210	GO:0019817
GO:0048210	GO:0034058
GO:0048210	GO:0048279
GO:0048210	GO:0048280
GO:0048210	GO:0051469
GO:0048210	GO:0061763
GO:0048210	GO:0061782
GO:0048210	GO:0061909
GO:0048210	GO:0061910
GO:0048210	GO:0061911
GO:0048210	GO:0090385
GO:0048210	GO:0099500
GO:0048210	GO:0120211
GO:0048279	GO:0016320
GO:0048279	GO:0019817
GO:0048279	GO:0034058
GO:0048279	GO:0048280
GO:0048279	GO:0051469
GO:0048279	GO:0061763
GO:0048279	GO:0061782
GO:0048279	GO:0061909
GO:0048279	GO:0061910
GO:0048279	GO:0061911
GO:0048279	GO:0090385
GO:0048279	GO:0099500
GO:0048279	GO:0120211
GO:0048280	GO:0019817
GO:0048280	GO:0034058
GO:0048280	GO:0051469
GO:0048280	GO:0061763
GO:0048280	GO:0061782
GO:0048280	GO:0061909
GO:0048280	GO:0061910
GO:0048280	GO:0061911
GO:0048280	GO:0090385
GO:0048280	GO:0099500
GO:0048280	GO:0120211
GO:0048284	GO:0006906
GO:0051469	GO:0034058
GO:0051469	GO:0042144
GO:0051469	GO:0061763
GO:0051469	GO:0061782
GO:0051469	GO:0061909
GO:0051469	GO:0061910
GO:0051469	GO:0061911
GO:0051469	GO:0090385
GO:0051469	GO:0120211
GO:0061472	GO:0006906
GO:0061472	GO:1990613
GO:0061763	GO:0061909
GO:0061763	GO:0061910
GO:0061763	GO:0061911
GO:0061763	GO:0090385
GO:0061763	GO:0120211
GO:0061782	GO:0034058
GO:0061782	GO:0061763
GO:0061782	GO:0061909
GO:0061782	GO:0061910
GO:0061782	GO:0061911
GO:0061782	GO:0090385
GO:0061782	GO:0120211
GO:0061909	GO:0061910
GO:0061909	GO:0061911
GO:0061909	GO:0090385
GO:0061910	GO:0061911
GO:0061910	GO:0090385
GO:0061911	GO:0090385
GO:0090174	GO:0000741
GO:0090174	GO:0008053
GO:0090174	GO:0042144
GO:0090174	GO:0097576
GO:0097576	GO:0000741
GO:0099500	GO:0019817
GO:0099500	GO:0034058
GO:0099500	GO:0051469
GO:0099500	GO:0061763
GO:0099500	GO:0061782
GO:0099500	GO:0061909
GO:0099500	GO:0061910
GO:0099500	GO:0061911
GO:0099500	GO:0090385
GO:0099500	GO:0120211
GO:0120211	GO:0061909
GO:0120211	GO:0061910
GO:0120211	GO:0061911
GO:0120211	GO:0090385
GO:1990613	GO:0006906
GO:1990626	GO:1990627
GO:1990668	GO:0019817
GO:1990668	GO:0034058
GO:1990668	GO:0048210
GO:1990668	GO:0048279
GO:1990668	GO:0048280
GO:1990668	GO:0051469
GO:1990668	GO:0061763
GO:1990668	GO:0061782
GO:1990668	GO:0061909
GO:1990668	GO:0061910
GO:1990668	GO:0061911
GO:1990668	GO:0090385
GO:1990668	GO:0099500
GO:1990668	GO:0120211
GO:1990668	GO:1990670
GO:1990670	GO:0019817
GO:1990670	GO:0034058
GO:1990670	GO:0048210
GO:1990670	GO:0048279
GO:1990670	GO:0048280
GO:1990670	GO:0051469
GO:1990670	GO:0061763
GO:1990670	GO:0061782
GO:1990670	GO:0061909
GO:1990670	GO:0061910
GO:1990670	GO:0061911
GO:1990670	GO:0090385
GO:1990670	GO:0099500
GO:1990670	GO:0120211
GO:1990672	GO:1990671
GO:1990672	GO:1990691
GO:1990672	GO:1990692
GO:1990687	GO:1990688
GO:1990689	GO:1990671
GO:1990689	GO:1990672
GO:1990689	GO:1990690
GO:1990689	GO:1990691
GO:1990689	GO:1990692
GO:1990690	GO:1990671
GO:1990690	GO:1990672
GO:1990690	GO:1990691
GO:1990690	GO:1990692
GO:1990691	GO:1990671
GO:1990691	GO:1990692
GO:1990692	GO:1990671
