Node1	Node2
GO:0005981	GO:0010904
GO:0005981	GO:0043456
GO:0005981	GO:0043463
GO:0005981	GO:0043468
GO:0005981	GO:0043469
GO:0005981	GO:1900282
GO:0005981	GO:1905856
GO:0005981	GO:1905857
GO:0005981	GO:2000881
GO:0005981	GO:2000994
GO:0005981	GO:2000997
GO:0005981	GO:2001003
GO:0010904	GO:0043456
GO:0010904	GO:0043463
GO:0010904	GO:0043468
GO:0010904	GO:0043469
GO:0010904	GO:1900282
GO:0010904	GO:1905856
GO:0010904	GO:1905857
GO:0010904	GO:2000881
GO:0010904	GO:2000994
GO:0010904	GO:2000997
GO:0010904	GO:2001003
GO:0010905	GO:1900283
GO:0010905	GO:1905856
GO:0010905	GO:2000882
GO:0010905	GO:2000946
GO:0010905	GO:2000995
GO:0010905	GO:2000998
GO:0010905	GO:2001004
GO:0034234	GO:0005981
GO:0034234	GO:0010904
GO:0034234	GO:0043456
GO:0034234	GO:0043463
GO:0034234	GO:0043468
GO:0034234	GO:0043469
GO:0034234	GO:1900282
GO:0034234	GO:1900283
GO:0034234	GO:1900284
GO:0034234	GO:1900509
GO:0034234	GO:1900515
GO:0034234	GO:1901319
GO:0034234	GO:1905856
GO:0034234	GO:1905857
GO:0034234	GO:2000881
GO:0034234	GO:2000882
GO:0034234	GO:2000883
GO:0034234	GO:2000994
GO:0034234	GO:2000995
GO:0034234	GO:2000996
GO:0034234	GO:2000997
GO:0034234	GO:2000998
GO:0034234	GO:2000999
GO:0034234	GO:2001003
GO:0034234	GO:2001004
GO:0034234	GO:2001005
GO:0034234	GO:2001154
GO:0034234	GO:2001155
GO:0034234	GO:2001172
GO:0043463	GO:0043456
GO:0043463	GO:0043468
GO:0043463	GO:0043469
GO:0043463	GO:1900282
GO:0043463	GO:2000881
GO:0043463	GO:2000994
GO:0043463	GO:2000997
GO:0043463	GO:2001003
GO:0043468	GO:0043456
GO:0043468	GO:0043469
GO:0043468	GO:1900282
GO:0043468	GO:2000881
GO:0043468	GO:2000994
GO:0043468	GO:2000997
GO:0043468	GO:2001003
GO:0043469	GO:0043456
GO:0043469	GO:1900282
GO:0043469	GO:2000881
GO:0043469	GO:2000994
GO:0043469	GO:2000997
GO:0043469	GO:2001003
GO:0043471	GO:0010905
GO:0043471	GO:0045818
GO:0043471	GO:0045819
GO:0043471	GO:1900283
GO:0043471	GO:1900284
GO:0043471	GO:2000882
GO:0043471	GO:2000883
GO:0043471	GO:2000908
GO:0043471	GO:2000946
GO:0043471	GO:2000947
GO:0043471	GO:2000995
GO:0043471	GO:2000996
GO:0043471	GO:2000998
GO:0043471	GO:2000999
GO:0043471	GO:2001004
GO:0043471	GO:2001005
GO:0045818	GO:0010905
GO:0045818	GO:0045819
GO:0045818	GO:1900283
GO:0045818	GO:2000882
GO:0045818	GO:2000946
GO:0045818	GO:2000995
GO:0045818	GO:2000998
GO:0045819	GO:1900284
GO:0045819	GO:1901319
GO:0045819	GO:2000883
GO:0045819	GO:2000947
GO:0045819	GO:2000996
GO:0045819	GO:2000999
GO:1900282	GO:0043456
GO:1900282	GO:2000881
GO:1900282	GO:2000994
GO:1900282	GO:2000997
GO:1900282	GO:2001003
GO:1900283	GO:1900284
GO:1900283	GO:2000882
GO:1900283	GO:2000946
GO:1900283	GO:2000995
GO:1900283	GO:2000998
GO:1900284	GO:1901319
GO:1900284	GO:2000883
GO:1900284	GO:2000947
GO:1900284	GO:2000996
GO:1900284	GO:2000999
GO:1900509	GO:0005981
GO:1900509	GO:0010904
GO:1900509	GO:0043456
GO:1900509	GO:0043463
GO:1900509	GO:0043468
GO:1900509	GO:0043469
GO:1900509	GO:1900282
GO:1900509	GO:1901319
GO:1900509	GO:2000881
GO:1900509	GO:2000882
GO:1900509	GO:2000883
GO:1900509	GO:2000994
GO:1900509	GO:2000995
GO:1900509	GO:2000996
GO:1900509	GO:2000997
GO:1900509	GO:2000998
GO:1900509	GO:2000999
GO:1900509	GO:2001003
GO:1900509	GO:2001004
GO:1900509	GO:2001005
GO:1900509	GO:2001154
GO:1900509	GO:2001155
GO:1900509	GO:2001172
GO:1900510	GO:0010905
GO:1900510	GO:1900511
GO:1900510	GO:1900515
GO:1900510	GO:2000882
GO:1900510	GO:2000995
GO:1900510	GO:2000998
GO:1900510	GO:2001004
GO:1900510	GO:2001155
GO:1900511	GO:1900515
GO:1900511	GO:1901319
GO:1900511	GO:2000883
GO:1900511	GO:2000908
GO:1900511	GO:2000996
GO:1900511	GO:2000999
GO:1900511	GO:2001005
GO:1900516	GO:1900517
GO:1901319	GO:0005981
GO:1901319	GO:0010904
GO:1901319	GO:0043456
GO:1901319	GO:0043463
GO:1901319	GO:0043468
GO:1901319	GO:0043469
GO:1901319	GO:1900282
GO:1901319	GO:2000881
GO:1901319	GO:2000882
GO:1901319	GO:2000883
GO:1901319	GO:2000908
GO:1901319	GO:2000947
GO:1901319	GO:2000994
GO:1901319	GO:2000995
GO:1901319	GO:2000996
GO:1901319	GO:2000997
GO:1901319	GO:2000998
GO:1901319	GO:2000999
GO:1901319	GO:2001003
GO:1901319	GO:2001004
GO:1901319	GO:2001005
GO:1901319	GO:2001154
GO:1905856	GO:1905857
GO:2000881	GO:0043456
GO:2000881	GO:2000994
GO:2000881	GO:2000997
GO:2000881	GO:2001003
GO:2000882	GO:2000883
GO:2000882	GO:2000947
GO:2000882	GO:2000995
GO:2000882	GO:2000998
GO:2000883	GO:2000996
GO:2000883	GO:2000999
GO:2000946	GO:2000947
GO:2000994	GO:0043456
GO:2000994	GO:2000997
GO:2000994	GO:2001003
GO:2000995	GO:2000908
GO:2000995	GO:2000996
GO:2000995	GO:2000998
GO:2000995	GO:2001004
GO:2000996	GO:2000999
GO:2000996	GO:2001005
GO:2000997	GO:0043456
GO:2000997	GO:2001003
GO:2000998	GO:0010904
GO:2000998	GO:2000999
GO:2000998	GO:2001004
GO:2000999	GO:2001005
GO:2001003	GO:0043456
GO:2001004	GO:0010904
GO:2001004	GO:2001005
GO:2001154	GO:0005981
GO:2001154	GO:0010904
GO:2001154	GO:0043456
GO:2001154	GO:0043463
GO:2001154	GO:0043468
GO:2001154	GO:0043469
GO:2001154	GO:1900282
GO:2001154	GO:2000881
GO:2001154	GO:2000994
GO:2001154	GO:2000997
GO:2001154	GO:2001003
GO:2001155	GO:0010905
GO:2001155	GO:2000995
GO:2001155	GO:2000998
GO:2001155	GO:2001004
GO:2001155	GO:2001172
