GO:0005150	GO:0005151
GO:0005179	GO:0160041
GO:0005183	GO:0008437
GO:0005183	GO:0016608
GO:0005183	GO:0017045
GO:0005295	GO:0140931
GO:0005304	GO:0015188
GO:0005304	GO:0015190
GO:0005356	GO:0005412
GO:0005358	GO:0005359
GO:0005582	GO:0030938
GO:0005584	GO:0005585
GO:0005584	GO:0005586
GO:0005584	GO:0005588
GO:0005585	GO:0005586
GO:0005585	GO:0005588
GO:0005586	GO:0005592
GO:0005589	GO:0005594
GO:0005591	GO:0005587
GO:0005591	GO:0005599
GO:0005594	GO:0005595
GO:0005594	GO:1990319
GO:0005595	GO:0005596
GO:0005596	GO:0005597
GO:0005597	GO:1990318
GO:0005597	GO:1990320
GO:0005600	GO:1990322
GO:0005744	GO:0035632
GO:0005744	GO:0042721
GO:0005745	GO:0031942
GO:0005758	GO:0009529
GO:0005762	GO:0005763
GO:0005775	GO:0031904
GO:0005780	GO:0031313
GO:0005780	GO:0035452
GO:0005784	GO:0071261
GO:0006167	GO:0046708
GO:0006170	GO:0006173
GO:0006170	GO:0006181
GO:0006171	GO:0006182
GO:0006173	GO:0006175
GO:0006175	GO:0046071
GO:0006177	GO:0046708
GO:0006185	GO:0046071
GO:0006188	GO:0046708
GO:0006265	GO:0032392
GO:0006267	GO:0036390
GO:0006352	GO:0006351
GO:0006353	GO:0006351
GO:0006354	GO:0006351
GO:0006360	GO:0006366
GO:0006360	GO:0006383
GO:0006361	GO:0006384
GO:0006361	GO:0006391
GO:0006362	GO:0006368
GO:0006362	GO:0006385
GO:0006362	GO:0006392
GO:0006363	GO:0006369
GO:0006363	GO:0006386
GO:0006366	GO:0006383
GO:0006367	GO:0006391
GO:0006368	GO:0006385
GO:0006369	GO:0006386
GO:0006384	GO:0006391
GO:0006385	GO:0006392
GO:0006392	GO:0006391
GO:0006535	GO:0019343
GO:0006598	GO:0030419
GO:0006607	GO:0006610
GO:0006620	GO:0006613
GO:0006667	GO:0006670
GO:0006668	GO:0006667
GO:0006669	GO:0006686
GO:0006669	GO:0046511
GO:0006672	GO:0006687
GO:0006673	GO:1905371
GO:0006676	GO:0006675
GO:0006677	GO:0046478
GO:0006678	GO:0006681
GO:0006686	GO:0006688
GO:0006686	GO:0046511
GO:0006686	GO:0046520
GO:0006784	GO:0006785
GO:0006784	GO:0048034
GO:0006785	GO:0006786
GO:0006880	GO:0006881
GO:0006940	GO:0006942
GO:0006948	GO:0044863
GO:0007038	GO:0006623
GO:0007064	GO:0051177
GO:0007064	GO:0070601
GO:0007065	GO:0007066
GO:0007079	GO:0016344
GO:0007120	GO:0007121
GO:0007128	GO:0007136
GO:0007129	GO:0045141
GO:0007132	GO:0007133
GO:0007132	GO:0098768
GO:0007133	GO:0098768
GO:0007136	GO:0007139
GO:0007139	GO:0007137
GO:0007141	GO:0007144
GO:0007157	GO:0007156
GO:0007157	GO:0016338
GO:0007158	GO:0071603
GO:0007158	GO:0090136
GO:0007161	GO:0016340
GO:0007161	GO:0090673
GO:0007171	GO:0032148
GO:0007171	GO:0034199
GO:0007175	GO:0031552
GO:0007270	GO:0007274
GO:0007271	GO:0035249
GO:0007271	GO:0060012
GO:0007271	GO:0099155
GO:0007299	GO:0071603
GO:0007603	GO:0007604
GO:0008031	GO:0016087
GO:0008069	GO:0030714
GO:0008070	GO:0008071
GO:0008083	GO:0005179
GO:0008084	GO:0005154
GO:0008086	GO:1990028
GO:0008089	GO:0008090
GO:0008117	GO:0008994
GO:0008176	GO:0052906
GO:0008176	GO:0160102
GO:0008215	GO:0008216
GO:0008297	GO:0008309
GO:0008310	GO:0008311
GO:0008310	GO:0045145
GO:0008311	GO:0051908
GO:0008331	GO:0008332
GO:0008331	GO:1990028
GO:0008332	GO:1990028
GO:0008408	GO:0008409
